Bib,Name,Country,Gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Gender Qualifier Rank,Qualified
508,Alejandro Pulido Aponte,Colombia,Male,M50-54,04:22:20,34,33,1,00:34:40,218,188,18,02:16:59,28,27,1,01:25:58,34,30,1,00:2:44,48,39,2,00:1:59,24,20,2,FIN,03:51:43,1,1,1
487,Santiago Portocarrero,Peru,Male,M45-49,04:20:26,28,27,1,00:29:26,43,35,3,02:17:00,29,28,1,01:29:05,56,48,2,00:3:08,113,94,8,00:1:47,15,13,1,FIN,03:53:49,2,2,1
656,Patricio Ordoñez,Ecuador,Male,M40-44,04:12:32,16,16,1,00:28:48,35,27,3,02:16:34,23,22,3,01:22:21,14,13,2,00:2:30,31,22,3,00:2:19,72,55,10,FIN,03:53:53,3,3,1
617,Nelson Gonzales,Peru,Male,M45-49,04:22:46,35,34,2,00:28:52,36,28,2,02:19:01,50,49,3,01:30:11,66,55,4,00:2:36,38,29,3,00:2:06,37,30,2,FIN,03:55:54,4,4,1
216,David Almeida,Brazil,Male,M40-44,04:14:48,19,19,2,00:32:16,105,89,13,02:16:04,21,20,2,01:20:48,11,11,1,00:2:47,53,44,5,00:2:53,193,150,25,FIN,03:55:59,5,5,1
295,Martin Bertolotti,United States,Male,M35-39,04:08:25,13,13,1,00:29:28,44,36,5,02:11:20,11,11,1,01:23:39,17,16,2,00:2:15,10,10,1,00:1:43,9,8,1,FIN,03:55:59,6,6,1
1101,Angel Ruiz,Chile,Male,M35-39,04:11:23,15,15,2,00:25:24,10,10,1,02:18:26,42,41,5,01:22:41,15,14,1,00:2:29,30,21,2,00:2:23,91,69,9,FIN,03:58:48,7,7,1
152,Fernando Di Rosso,Argentina,Male,M40-44,04:18:04,24,23,3,00:32:01,101,87,12,02:16:55,27,26,4,01:24:02,21,19,3,00:2:48,57,46,6,00:2:18,68,51,8,FIN,03:59:01,8,8,1
979,Alvaro Sanchez,Bolivia,Male,M50-54,04:32:15,69,59,2,00:31:51,95,82,3,02:18:15,39,38,2,01:36:16,132,117,6,00:3:05,97,80,5,00:2:47,164,131,12,FIN,04:00:28,9,9,1
238,PAULO GUSTAVO CARDOSO,Brazil,Male,M35-39,04:13:29,17,17,3,00:26:55,18,17,2,02:17:42,37,36,3,01:23:46,19,17,3,00:2:49,58,47,8,00:2:18,67,50,6,FIN,04:00:48,10,10,1
184,Juan Miguel Raffo,Peru,Male,M60-64,04:54:55,169,151,1,00:33:04,131,112,1,02:29:56,141,127,1,01:44:54,258,220,1,00:4:03,250,201,4,00:2:58,220,173,3,FIN,04:01:35,11,11,1
955,Juan Carlos Arenas,Colombia,Male,M45-49,04:30:24,60,53,3,00:30:03,56,47,7,02:25:29,90,86,6,01:30:07,63,52,3,00:2:26,21,15,2,00:2:18,64,49,3,FIN,04:02:45,12,12,1
348,Javier Muela Herrera,Spain,Male,M45-49,04:30:57,63,55,4,00:32:18,107,91,12,02:18:48,49,48,2,01:33:21,101,86,7,00:3:11,117,98,9,00:3:19,298,234,25,FIN,04:03:15,13,13,
449,Diego Lazarte,Peru,Male,M45-49,04:31:25,65,56,5,00:29:32,48,40,4,02:19:33,52,51,4,01:36:25,134,119,10,00:3:35,179,147,16,00:2:20,73,56,4,FIN,04:03:40,14,14,
267,Chris Harrisson,Peru,Male,M40-44,04:23:54,39,37,4,00:29:29,45,37,4,02:20:36,60,59,12,01:28:01,45,39,6,00:2:54,68,55,7,00:2:54,194,151,26,FIN,04:04:25,15,15,
415,Bruno Mancinelli,Brazil,Male,M40-44,04:24:23,40,38,5,00:29:51,54,45,6,02:17:24,35,34,6,01:31:27,81,69,9,00:2:54,69,56,8,00:2:48,170,134,22,FIN,04:04:52,16,16,
114,Sergio Peretti,Argentina,Male,M60-64,04:59:23,188,167,2,00:36:33,361,308,5,02:30:21,146,132,2,01:45:09,260,221,2,00:4:10,281,228,5,00:3:11,269,211,5,FIN,04:05:15,17,17,
162,Raul Arratia,Chile,Male,M25-29,04:07:33,12,12,1,00:28:21,29,24,2,02:15:55,20,19,3,01:19:22,5,5,1,00:1:52,2,2,1,00:2:03,31,24,6,FIN,04:05:47,18,18,1
235,Mario Roman,Chile,Male,M50-54,04:38:31,88,77,3,00:37:26,438,366,38,02:23:22,73,70,3,01:31:54,87,74,3,00:3:29,160,131,11,00:2:20,75,57,3,FIN,04:06:00,19,19,
177,RAFAEL SILVA ALBUQUERQUE,Brazil,Male,M40-44,04:26:08,48,42,6,00:34:26,202,173,31,02:17:09,31,30,5,01:28:53,52,45,7,00:3:03,90,73,14,00:2:36,129,102,19,FIN,04:06:29,20,20,
886,Martin Villanueva Hasbun,Chile,Male,M40-44,04:26:18,50,44,7,00:28:47,34,26,2,02:18:45,47,46,9,01:32:49,94,80,12,00:3:34,173,142,26,00:2:23,88,66,12,FIN,04:06:38,21,21,
782,Juan Martin Coll Cuello,Spain,Male,M40-44,04:26:35,51,45,8,00:31:01,71,61,7,02:18:18,41,40,8,01:31:31,83,71,11,00:3:18,133,112,21,00:2:28,103,78,16,FIN,04:06:54,22,22,
1064,Marcelo Cao,Argentina,Male,M45-49,04:35:21,75,64,6,00:34:41,219,189,25,02:28:33,123,113,14,01:25:18,26,23,1,00:3:31,165,135,14,00:3:18,291,227,22,FIN,04:07:12,23,23,
178,Johnny Mena,Ecuador,Male,M18-24,04:07:29,11,11,1,00:27:25,22,18,4,02:14:31,15,15,1,01:20:12,7,7,1,00:3:34,177,145,8,00:1:47,14,12,2,FIN,04:07:29,24,24,1
774,Walter Takano,Peru,Male,M50-54,04:40:11,95,82,4,00:33:25,149,126,10,02:28:50,127,116,7,01:31:37,84,72,2,00:3:48,206,166,18,00:2:31,113,87,6,FIN,04:07:29,25,25,
1024,Mauricio Smith Frontaura,Chile,Male,M35-39,04:20:31,29,28,4,00:30:39,63,54,7,02:17:55,38,37,4,01:27:05,41,36,6,00:2:33,35,26,4,00:2:18,69,52,7,FIN,04:07:29,26,26,
165,Haroldo Veiga Rolim,Brazil,Male,M30-34,04:16:29,22,21,1,00:28:33,31,25,1,02:16:47,25,24,3,01:25:57,33,29,5,00:3:08,112,93,17,00:2:05,36,29,4,FIN,04:07:38,27,27,1
146,Alexis Sabet Echavarria,Colombia,Male,M45-49,04:35:57,77,66,7,00:33:30,152,129,16,02:20:30,59,58,5,01:36:31,137,122,11,00:2:59,81,66,4,00:2:27,98,74,5,FIN,04:07:44,28,28,
885,Andres Croxatto,Chile,Male,M60-64,05:02:48,206,182,3,00:34:18,192,163,2,02:34:57,207,188,3,01:47:19,294,248,3,00:3:36,184,151,2,00:2:38,138,110,1,FIN,04:08:03,29,29,
